id,housing,loan,default
3909,yes,no,no
3910,no,no,
3911,yes,no,no
3912,yes,no,no
3913,yes,no,no
3914,no,no,no
3915,yes,yes,
3916,yes,no,
3917,yes,no,no
3918,no,no,no
3919,yes,no,
3920,yes,no,no
3921,yes,yes,no
3922,no,no,
3923,yes,no,no
3924,yes,yes,
3925,no,no,
3926,no,no,no
3927,no,yes,
3928,no,no,no
3929,no,no,
3930,no,no,no
3931,yes,no,
3932,no,no,no
3933,yes,no,
3934,yes,yes,no
3935,yes,no,no
3936,no,yes,no
3937,yes,yes,
3938,yes,no,no
3939,no,no,
3940,no,no,
3941,no,no,no
3942,no,no,no
3943,yes,no,no
3944,yes,yes,
3945,yes,no,no
3946,yes,no,no
3947,no,no,no
3948,yes,no,no
3949,no,no,no
3950,yes,no,no
3951,yes,no,no
3952,no,no,no
3953,yes,no,no
3954,yes,no,
3955,no,no,no
3956,,,no
3957,no,no,no
3958,no,no,
3959,yes,no,
3960,yes,yes,no
3961,yes,yes,
3962,no,no,no
3963,no,no,no
3964,yes,no,
3965,no,no,no
3966,no,no,
3967,no,yes,no
3968,yes,no,no
3969,no,no,no
3970,yes,no,no
3971,yes,no,
3972,yes,yes,
3973,yes,yes,no
3974,yes,no,no
3975,yes,yes,
3976,no,no,no
3977,yes,no,no
3978,,,no
3979,no,no,no
3980,yes,no,no
3981,yes,no,no
3982,no,no,no
3983,yes,no,
3984,,,no
3985,no,yes,
3986,no,no,no
3987,yes,no,
3988,no,no,no
3989,yes,yes,no
3990,yes,no,no
3991,no,no,no
3992,yes,no,
3993,yes,yes,
3994,yes,no,no
3995,no,no,no
3996,yes,yes,no
3997,yes,no,no
3998,,,no
3999,no,no,
4000,no,no,no
4001,,,
4002,no,no,no
4003,no,yes,no
4004,no,no,no
4005,yes,no,
4006,no,no,
4007,yes,no,
4008,yes,yes,no
4009,no,no,no
4010,yes,yes,no
4011,yes,no,no
4012,no,no,no
4013,no,no,no
4014,no,yes,no
4015,no,no,no
4016,no,no,
4017,no,no,
4018,yes,no,no
4019,yes,yes,
4020,no,no,no
4021,no,no,no
4022,yes,no,
4023,,,no
4024,no,no,no
4025,no,no,no
4026,no,no,no
4027,no,no,no
4028,yes,no,no
4029,yes,yes,no
4030,yes,yes,no
4031,no,no,no
4032,yes,no,
4033,yes,yes,
4034,yes,no,
4035,no,no,no
4036,yes,yes,no
4037,no,yes,
4038,no,no,no
4039,yes,no,no
4040,yes,no,
4041,no,no,no
4042,no,no,no
4043,no,no,no
4044,no,no,no
4045,no,no,no
4046,yes,no,no
4047,no,no,
4048,yes,yes,no
4049,no,no,no
4050,no,no,no
4051,no,no,no
4052,yes,no,
4053,no,no,no
4054,no,no,no
4055,yes,no,
4056,,,
4057,no,no,no
4058,,,no
4059,no,no,
4060,no,no,
4061,no,no,no
4062,no,no,
4063,no,no,no
4064,no,no,no
4065,no,no,no
4066,no,no,no
4067,,,no
4068,yes,yes,no
4069,no,no,no
4070,yes,no,no
4071,yes,yes,
4072,yes,no,no
4073,yes,no,no
4074,no,no,no
4075,yes,yes,
4076,yes,no,no
4077,no,no,no
4078,yes,yes,
4079,no,yes,
4080,yes,yes,no
4081,no,yes,no
4082,no,no,no
4083,yes,no,
4084,yes,yes,
4085,yes,no,no
4086,yes,no,no
4087,yes,no,no
4088,no,yes,no
4089,no,no,
4090,no,no,
4091,yes,no,no
4092,yes,no,no
4093,no,no,
4094,,,no
4095,,,no
4096,yes,no,no
4097,yes,no,
4098,yes,yes,
4099,no,no,no
4100,no,no,no
4101,yes,yes,no
4102,yes,no,no
4103,no,no,
4104,no,yes,no
4105,yes,no,no
4106,yes,no,no
4107,no,no,no
4108,,,
4109,,,no
4110,,,no
4111,yes,no,no
4112,yes,no,no
4113,no,no,no
4114,yes,yes,
4115,no,no,no
4116,no,yes,no
4117,no,no,no
4118,no,yes,
4119,no,no,no
4120,no,no,no
4121,no,no,no
4122,yes,no,
4123,,,no
4124,,,no
4125,yes,no,no
4126,yes,no,no
4127,no,yes,no
4128,yes,yes,no
4129,no,yes,no
4130,yes,no,no
4131,yes,no,no
4132,yes,no,no
4133,yes,yes,no
4134,,,no
4135,no,no,
4136,yes,no,no
4137,yes,no,no
4138,yes,no,no
4139,no,no,no
4140,no,no,
4141,no,no,no
4142,,,no
4143,yes,no,no
4144,no,no,no
4145,no,no,
4146,no,no,no
4147,no,yes,no
4148,yes,no,no
4149,yes,no,no
4150,no,no,no
4151,no,yes,no
4152,no,no,no
4153,yes,no,no
4154,yes,no,no
4155,yes,no,
4156,yes,no,no
4157,no,no,no
4158,yes,yes,no
4159,no,no,no
4160,yes,no,no
4161,no,no,no
4162,yes,no,
4163,yes,no,
4164,yes,no,no
4165,yes,no,
4166,yes,no,
4167,yes,no,
4168,no,no,no
4169,yes,no,no
4170,no,no,
4171,yes,no,no
4172,no,no,no
4173,no,no,
4174,no,no,no
4175,yes,no,no
4176,yes,no,no
4177,no,no,
4178,yes,no,
4179,no,yes,no
4180,yes,no,no
4181,no,no,no
4182,yes,no,no
4183,no,no,
4184,yes,no,
4185,no,no,no
4186,no,no,no
4187,yes,no,
4188,yes,no,no
4189,yes,no,no
4190,yes,no,no
4191,no,no,no
4192,yes,yes,no
4193,no,no,no
4194,yes,no,no
4195,yes,no,no
4196,no,no,
4197,no,no,no
4198,no,no,no
4199,no,no,
4200,no,no,no
4201,yes,no,
4202,no,no,no
4203,no,no,no
4204,no,no,no
4205,no,no,no
4206,yes,no,no
4207,yes,no,no
4208,no,no,no
4209,no,no,no
4210,no,no,no
4211,no,yes,
4212,yes,yes,no
4213,no,no,no
4214,yes,no,
4215,no,no,no
4216,no,no,no
4217,no,no,
4218,no,no,
4219,yes,no,no
4220,yes,no,
4221,no,no,no
4222,yes,no,no
4223,yes,no,
4224,no,no,
4225,no,no,no
4226,no,no,
4227,yes,no,no
4228,yes,no,no
4229,no,no,no
4230,no,no,no
4231,yes,no,
4232,no,no,no
4233,no,no,no
4234,,,
4235,no,no,
4236,no,no,no
4237,yes,no,no
4238,yes,no,
4239,no,yes,no
4240,yes,no,
4241,no,no,no
4242,no,no,no
4243,yes,no,
4244,yes,yes,no
4245,yes,no,
4246,yes,yes,no
4247,no,yes,no
4248,no,no,
4249,yes,no,
4250,no,no,no
4251,yes,yes,no
4252,yes,no,no
4253,no,yes,no
4254,no,no,
4255,yes,no,no
4256,yes,no,
4257,no,no,no
4258,yes,yes,
4259,no,no,no
4260,yes,no,no
4261,yes,no,no
4262,no,yes,no
4263,no,no,no
4264,no,no,no
4265,no,no,no
4266,no,no,no
4267,no,no,no
4268,yes,no,
4269,no,no,
4270,no,no,no
4271,no,no,no
4272,yes,no,no
4273,no,no,no
4274,no,no,no
4275,yes,no,no
4276,no,no,
4277,yes,no,
4278,yes,no,no
4279,yes,no,
4280,no,no,no
4281,yes,no,no
4282,yes,yes,no
4283,yes,no,no
4284,no,yes,
4285,yes,no,no
4286,yes,no,no
4287,no,no,
4288,no,no,no
4289,no,no,no
4290,no,no,no
4291,no,no,
4292,no,no,no
4293,yes,no,
4294,no,yes,no
4295,no,no,
4296,no,no,no
4297,yes,yes,
4298,yes,yes,
4299,no,no,no
4300,no,no,
4301,,,no
4302,no,yes,no
4303,no,no,
4304,yes,yes,
4305,yes,no,
4306,yes,no,no
4307,no,no,no
4308,no,no,no
4309,no,no,
4310,no,no,
4311,no,no,no
4312,yes,no,
4313,yes,no,
4314,no,no,
4315,yes,yes,no
4316,yes,yes,no
4317,yes,no,no
4318,yes,no,
4319,no,yes,no
4320,yes,no,no
4321,yes,yes,
4322,no,no,
4323,no,no,
4324,no,no,no
4325,no,no,no
4326,no,no,
4327,no,no,no
4328,no,no,
4329,no,no,no
4330,yes,yes,no
4331,yes,no,no
4332,no,no,no
4333,yes,no,no
4334,no,no,no
4335,no,no,
4336,no,no,
4337,no,no,no
4338,no,no,no
4339,no,no,
4340,no,no,no
4341,no,no,
4342,yes,no,no
4343,yes,no,no
4344,,,
4345,yes,yes,no
4346,yes,no,no
4347,no,no,no
4348,no,no,no
4349,no,no,
4350,no,no,no
4351,yes,no,no
4352,yes,no,
4353,yes,no,
4354,yes,no,no
4355,no,yes,no
4356,no,no,no
4357,yes,no,no
4358,no,no,
4359,no,no,no
4360,no,yes,
4361,no,yes,no
4362,no,no,
4363,no,no,no
4364,no,no,no
4365,no,no,no
4366,no,no,no
4367,no,no,no
4368,yes,no,no
4369,yes,no,no
4370,no,yes,no
4371,no,no,no
4372,yes,no,
4373,no,no,
4374,no,no,no
4375,yes,no,
4376,yes,no,no
4377,yes,no,no
4378,yes,no,no
4379,yes,no,no
4380,yes,no,no
4381,no,no,no
4382,yes,no,
4383,no,no,
4384,yes,no,
4385,yes,no,
4386,no,no,no
4387,no,no,no
4388,no,no,
4389,yes,no,no
4390,no,no,
4391,no,no,
4392,no,yes,no
4393,no,yes,
4394,no,yes,no
4395,no,no,no
4396,yes,yes,
4397,no,yes,
4398,no,no,
4399,no,no,
4400,yes,no,no
4401,yes,no,
4402,yes,yes,
4403,no,no,no
4404,yes,yes,no
4405,yes,no,no
4406,yes,no,
4407,yes,no,no
4408,yes,no,no
4409,no,no,no
4410,no,yes,no
4411,no,no,
4412,,,
4413,no,no,no
4414,yes,no,no
4415,yes,no,no
4416,yes,yes,
4417,yes,no,
4418,yes,no,no
4419,yes,no,no
4420,yes,no,
4421,no,no,no
4422,yes,no,no
4423,no,no,no
4424,yes,no,no
4425,no,no,no
4426,yes,no,
4427,yes,no,no
4428,no,no,no
4429,no,no,no
4430,yes,no,no
4431,no,no,no
4432,yes,no,
4433,no,no,
4434,yes,no,
4435,no,no,no
4436,yes,no,
4437,no,no,no
4438,yes,no,
4439,no,no,no
4440,no,no,no
4441,no,no,
4442,no,no,
4443,yes,no,no
4444,,,no
4445,yes,no,no
4446,no,yes,no
4447,no,no,no
4448,yes,no,no
4449,yes,no,no
4450,yes,yes,
4451,no,no,no
4452,no,yes,
4453,no,no,no
4454,yes,yes,no
4455,no,no,
4456,,,no
4457,yes,no,no
4458,,,no
4459,yes,no,no
4460,yes,no,
4461,yes,no,
4462,yes,no,no
4463,no,no,no
4464,yes,no,no
4465,no,no,no
4466,yes,no,no
4467,no,no,
4468,no,no,no
4469,yes,no,
4470,yes,yes,no
4471,yes,no,no
4472,yes,no,no
4473,no,no,no
4474,yes,yes,no
4475,yes,no,no
4476,no,no,
4477,no,no,no
4478,no,no,no
4479,yes,no,no
4480,no,no,
4481,no,no,no
4482,yes,no,no
4483,no,no,
4484,no,no,no
4485,no,no,no
4486,no,no,no
4487,no,no,no
4488,no,no,no
4489,no,no,no
4490,no,yes,no
4491,yes,no,
4492,no,no,
4493,no,no,no
4494,yes,no,
4495,yes,yes,no
4496,yes,no,no
4497,no,no,no
4498,no,yes,
4499,no,yes,no
4500,no,no,
4501,yes,no,no
4502,yes,yes,no
4503,yes,no,no
4504,yes,no,no
4505,yes,yes,no
4506,no,no,
4507,no,no,no
4508,yes,no,no
4509,no,no,no
4510,yes,yes,no
4511,yes,no,
4512,yes,yes,
4513,no,no,no
4514,,,no
4515,yes,no,no
4516,,,no
4517,yes,no,no
4518,yes,yes,
4519,yes,no,
4520,no,no,no
4521,yes,yes,
4522,no,no,no
4523,,,
4524,no,no,no
4525,no,no,no
4526,yes,no,no
4527,no,no,
4528,yes,yes,no
4529,yes,yes,
4530,no,no,
4531,yes,yes,no
4532,no,no,no
4533,no,no,no
4534,yes,no,
4535,yes,no,no
4536,no,no,no
4537,yes,no,no
4538,no,no,
4539,no,no,no
4540,no,no,no
4541,yes,no,no
4542,,,no
4543,no,no,no
4544,no,no,no
4545,yes,yes,
4546,no,no,no
4547,no,no,no
4548,no,no,no
4549,no,no,
4550,yes,no,no
4551,yes,yes,no
4552,yes,yes,no
4553,no,no,
4554,no,no,no
4555,no,no,no
4556,no,no,no
4557,yes,yes,
4558,no,no,
4559,no,no,no
4560,yes,no,no
4561,no,no,no
4562,yes,yes,no
4563,no,no,no
4564,yes,no,no
4565,no,no,no
4566,no,no,no
4567,yes,no,no
4568,no,no,no
4569,yes,no,no
4570,no,no,no
4571,yes,no,no
4572,yes,no,
4573,yes,no,no
4574,no,no,no
4575,yes,no,
4576,no,no,no
4577,yes,no,no
4578,yes,no,no
4579,no,no,no
4580,yes,no,
4581,yes,no,no
4582,yes,no,no
4583,yes,yes,no
4584,no,no,no
4585,no,no,no
4586,no,no,no
4587,no,yes,
4588,no,no,
4589,,,no
4590,no,no,no
4591,no,no,no
4592,yes,no,
4593,no,no,no
4594,yes,no,no
4595,yes,no,
4596,no,no,no
4597,yes,no,
4598,yes,no,
4599,no,no,no
4600,yes,no,
4601,yes,no,
4602,yes,no,no
4603,yes,no,no
4604,no,no,no
4605,yes,no,no
4606,yes,no,no
4607,no,yes,no
4608,,,no
4609,no,no,no
4610,no,no,no
4611,yes,yes,
4612,yes,no,no
4613,no,no,no
4614,no,yes,no
4615,yes,no,no
4616,no,no,no
4617,no,yes,no
4618,yes,no,
4619,yes,no,no
4620,yes,yes,no
4621,no,no,no
4622,no,no,no
4623,no,no,no
4624,yes,no,no
4625,no,no,no
4626,no,no,no
4627,yes,no,
4628,no,no,no
4629,no,yes,
4630,yes,no,
4631,no,no,no
4632,yes,yes,no
4633,yes,no,no
4634,yes,no,no
4635,yes,no,
4636,no,yes,
4637,no,no,no
4638,no,no,no
4639,no,no,no
4640,no,no,no
4641,no,no,no
4642,no,no,no
4643,yes,no,no
4644,yes,yes,no
4645,no,no,no
4646,yes,no,no
4647,yes,no,no
4648,yes,no,no
4649,no,no,
4650,yes,no,
4651,yes,no,no
4652,no,no,no
4653,yes,yes,no
4654,yes,no,
4655,no,no,no
4656,yes,yes,no
4657,yes,yes,no
4658,yes,yes,
4659,no,no,
4660,yes,yes,no
4661,yes,no,no
4662,no,yes,
4663,no,no,
4664,yes,yes,
4665,yes,yes,no
4666,yes,no,
4667,yes,yes,no
4668,no,no,
4669,no,yes,
4670,no,no,
4671,no,no,no
4672,no,no,no
4673,yes,no,no
4674,no,no,no
4675,no,no,
4676,no,no,no
4677,no,no,no
4678,no,no,
4679,yes,yes,no
4680,no,no,no
4681,no,no,no
4682,yes,no,no
4683,yes,no,no
4684,no,no,no
4685,yes,no,no
4686,yes,yes,no
4687,no,no,no
4688,yes,no,no
4689,yes,no,no
4690,yes,no,no
4691,yes,no,
4692,no,no,no
4693,no,no,no
4694,no,no,no
4695,no,no,
4696,no,no,
4697,no,no,no
4698,no,no,
4699,no,no,
4700,yes,no,
4701,no,no,
4702,no,no,no
4703,yes,yes,
4704,yes,yes,
4705,yes,no,no
4706,no,no,
4707,,,no
4708,no,no,no
4709,yes,no,no
4710,yes,no,no
4711,no,yes,no
4712,no,no,
4713,yes,no,no
4714,yes,no,no
4715,no,no,no
4716,no,no,no
4717,yes,no,no
4718,yes,no,
4719,yes,yes,no
4720,yes,no,no
4721,yes,no,
4722,yes,no,
4723,yes,yes,
4724,yes,no,no
4725,no,no,no
4726,yes,no,no
4727,no,no,no
4728,yes,no,
4729,yes,no,no
4730,yes,no,no
4731,yes,no,no
4732,no,no,no
4733,no,no,
4734,no,no,no
4735,no,no,no
4736,no,no,no
4737,no,no,no
4738,no,no,no
4739,no,no,
4740,no,no,
4741,no,no,no
4742,no,no,no
4743,no,no,
4744,no,no,
4745,yes,no,no
4746,yes,yes,no
4747,no,yes,no
4748,yes,no,
4749,no,yes,
4750,no,no,no
4751,yes,no,
4752,yes,yes,no
4753,yes,no,no
4754,yes,yes,no
4755,no,no,no
4756,yes,no,no
4757,yes,yes,no
4758,yes,no,no
4759,no,no,no
4760,no,no,no
4761,yes,no,no
4762,yes,no,
4763,yes,no,no
4764,no,no,
4765,yes,no,
4766,yes,no,no
4767,no,no,no
4768,yes,no,no
4769,no,yes,no
4770,no,yes,no
4771,yes,no,
4772,no,no,no
4773,yes,no,no
4774,no,no,no
4775,yes,yes,no
4776,no,yes,no
4777,no,no,no
4778,no,yes,no
4779,no,no,
4780,no,no,no
4781,yes,no,
4782,no,no,no
4783,no,no,
4784,no,no,no
4785,no,no,no
4786,yes,no,no
4787,no,no,no
4788,no,no,no
4789,no,no,no
4790,no,no,
4791,yes,no,
4792,no,no,
4793,yes,yes,
4794,yes,yes,no
4795,yes,yes,no
4796,no,no,no
4797,yes,yes,no
4798,no,no,no
4799,no,no,no
4800,yes,no,no
4801,yes,yes,no
4802,yes,yes,no
4803,no,yes,no
4804,yes,no,no
4805,no,no,
4806,no,no,
4807,no,no,
4808,no,no,no
4809,no,no,
4810,yes,no,
4811,yes,yes,no
4812,yes,no,no
4813,yes,no,no
4814,yes,yes,
4815,yes,no,
4816,no,no,
4817,no,no,no
4818,yes,no,no
4819,yes,no,
4820,no,yes,no
4821,yes,yes,no
4822,yes,yes,no
4823,no,no,no
4824,yes,no,no
4825,no,no,no
4826,yes,no,
4827,no,no,no
4828,no,no,no
4829,no,no,no
4830,no,no,no
4831,yes,no,no
4832,no,no,no
4833,yes,no,no
4834,no,no,no
4835,yes,no,no
4836,yes,no,
4837,,,no
4838,yes,no,no
4839,no,no,no
4840,yes,no,no
4841,yes,no,no
4842,no,no,
4843,yes,no,no
4844,yes,yes,no
4845,yes,no,no
4846,no,no,no
4847,yes,no,no
4848,yes,no,no
4849,no,no,
4850,yes,no,
4851,no,no,no
4852,no,no,no
4853,no,no,
4854,yes,yes,
4855,,,no
4856,yes,yes,no
4857,yes,no,no
4858,no,no,no
4859,yes,no,no
4860,yes,yes,no
4861,yes,no,no
4862,no,no,no
4863,yes,no,no
4864,yes,yes,no
4865,yes,no,no
4866,no,no,
4867,no,no,no
4868,no,no,no
4869,yes,no,no
4870,no,no,
4871,yes,no,
4872,no,no,no
4873,no,no,
4874,yes,no,no
4875,,,no
4876,,,no
4877,no,no,no
4878,no,yes,no
4879,no,no,no
4880,yes,no,
4881,yes,no,no
4882,no,no,no
4883,no,no,no
4884,yes,no,
4885,no,no,no
4886,no,no,
4887,yes,no,no
4888,yes,no,no
4889,no,no,no
4890,yes,no,no
4891,yes,no,
4892,no,no,no
4893,yes,no,
4894,yes,no,
4895,yes,no,no
4896,yes,no,no
4897,yes,no,
4898,no,no,no
4899,no,no,
4900,no,no,no
4901,no,no,no
4902,no,no,no
4903,no,yes,no
4904,no,no,no
4905,no,no,no
4906,yes,no,no
4907,yes,no,
4908,no,no,
4909,yes,no,no
4910,no,no,no
4911,no,no,
4912,yes,no,
4913,yes,yes,
4914,,,no
4915,no,yes,no
4916,yes,no,
4917,no,no,
4918,yes,no,no
4919,no,no,
4920,no,no,no
4921,no,no,no
4922,yes,yes,
4923,yes,no,no
4924,no,no,no
4925,no,no,no
4926,yes,no,no
4927,no,no,
4928,no,no,no
4929,yes,no,
4930,no,no,no
4931,no,no,no
4932,no,no,no
4933,yes,no,no
4934,yes,no,
4935,yes,no,
4936,yes,no,
4937,yes,no,no
4938,yes,yes,
4939,no,no,
4940,yes,no,no
4941,yes,no,no
4942,yes,no,no
4943,no,no,no
4944,yes,no,
4945,yes,no,no
4946,yes,no,no
4947,yes,no,no
4948,yes,no,
4949,,,no
4950,,,no
4951,,,
4952,yes,no,no
4953,no,no,no
4954,yes,no,no
4955,no,no,no
4956,no,no,
4957,yes,no,no
4958,,,
4959,yes,no,no
4960,no,no,no
4961,yes,no,no
4962,no,yes,no
4963,yes,no,no
4964,no,no,
4965,no,no,
4966,no,no,no
4967,yes,no,
4968,no,no,no
4969,yes,no,
4970,no,yes,no
4971,no,no,
4972,no,no,no
4973,no,no,no
4974,no,no,no
4975,yes,no,no
4976,yes,no,no
4977,yes,no,no
4978,yes,no,no
4979,no,no,no
4980,no,no,
4981,yes,yes,no
4982,yes,yes,no
4983,yes,yes,no
4984,,,
4985,yes,no,
4986,yes,no,
4987,yes,no,no
4988,yes,no,
4989,,,
4990,,,no
4991,no,no,no
4992,yes,no,no
4993,no,no,no
4994,no,no,no
4995,no,no,no
4996,no,no,no
4997,yes,no,no
4998,yes,no,
4999,no,no,no
5000,no,no,no
5001,no,no,no
5002,yes,yes,no
5003,no,no,no
5004,no,no,
5005,no,no,
5006,no,no,no
5007,no,no,no
5008,no,no,no
5009,yes,no,no
5010,no,no,no
5011,no,no,
5012,yes,no,no
5013,no,no,
5014,no,no,no
5015,yes,no,
5016,no,no,no
5017,yes,yes,no
5018,no,no,no
5019,yes,no,
5020,no,no,no
5021,no,no,no
5022,no,no,no
5023,yes,no,no
5024,no,no,no
5025,yes,no,
5026,yes,yes,no
5027,no,no,
5028,yes,yes,no
5029,no,no,
5030,no,yes,no
5031,no,no,no
5032,yes,no,
5033,no,no,no
5034,no,no,no
5035,yes,no,
5036,yes,no,
5037,no,no,no
5038,no,no,
5039,yes,no,no
5040,no,yes,no
5041,yes,no,
5042,no,no,
5043,yes,no,
5044,no,no,no
5045,no,no,
5046,yes,no,
5047,yes,no,no
5048,yes,no,no
5049,yes,no,
5050,yes,no,
5051,yes,no,no
5052,no,no,
5053,no,no,no
5054,yes,no,no
5055,no,yes,no
5056,yes,no,
5057,yes,no,no
5058,yes,no,no
5059,yes,no,no
5060,yes,no,no
5061,yes,no,no
5062,yes,no,no
5063,yes,no,no
5064,no,yes,no
5065,no,no,no
5066,no,no,no
5067,yes,yes,
5068,no,no,no
5069,,,no
5070,no,no,no
5071,no,no,no
5072,yes,yes,no
5073,yes,no,
5074,no,no,no
5075,yes,no,
5076,no,no,
5077,no,no,no
5078,yes,no,no
5079,no,no,no
5080,no,no,no
5081,no,yes,no
5082,yes,no,
5083,no,no,
5084,no,yes,no
5085,no,no,no
5086,no,no,
5087,no,no,no
5088,no,yes,no
5089,no,no,no
5090,no,no,no
5091,no,no,
5092,yes,no,
5093,yes,no,no
5094,no,no,
5095,no,no,no
5096,no,yes,no
5097,no,yes,no
5098,no,yes,
5099,yes,no,no
5100,yes,no,
5101,no,yes,no
5102,no,yes,no
5103,yes,no,
5104,no,no,no
5105,yes,no,no
5106,no,yes,
5107,no,yes,no
5108,no,no,
5109,no,yes,no
5110,no,no,no
5111,no,yes,no
5112,no,no,no
5113,no,yes,
5114,yes,no,
5115,no,no,no
5116,yes,no,
5117,no,no,
5118,no,no,
5119,yes,yes,no
5120,no,no,no
5121,yes,no,no
5122,yes,no,no
5123,no,no,no
5124,yes,no,no
5125,yes,no,
5126,no,yes,no
5127,no,yes,no
5128,yes,no,
5129,no,yes,
5130,yes,no,no
5131,no,yes,no
5132,no,no,no
5133,no,no,no
5134,no,no,no
5135,yes,no,no
5136,no,no,no
5137,yes,no,no
5138,yes,no,
5139,yes,no,no
5140,yes,no,no
5141,yes,no,no
5142,yes,yes,no
5143,no,no,no
5144,yes,no,no
5145,yes,yes,
5146,no,no,no
5147,no,no,no
5148,,,no
5149,no,no,no
5150,yes,no,no
5151,no,no,no
5152,yes,no,no
5153,yes,yes,no
5154,yes,no,no
5155,yes,no,no
5156,yes,no,no
5157,yes,yes,no
5158,no,no,
5159,no,no,
5160,no,no,no
5161,yes,no,
5162,yes,no,no
5163,yes,no,no
5164,yes,yes,no
5165,no,no,
5166,yes,no,no
5167,no,no,
5168,yes,no,no
5169,no,no,
5170,yes,yes,no
5171,yes,no,
5172,yes,no,no
5173,yes,no,no
5174,yes,no,no
5175,no,no,no
5176,yes,no,
5177,yes,no,no
5178,no,no,no
5179,no,yes,no
5180,no,yes,no
5181,yes,no,no
5182,no,no,no
5183,,,no
5184,no,no,no
5185,yes,no,no
5186,no,no,
5187,yes,no,
5188,yes,no,
5189,no,no,no
5190,no,no,no
5191,yes,yes,no
5192,yes,no,no
5193,yes,yes,no
5194,yes,yes,no
5195,no,no,no
5196,no,no,no
5197,no,no,no
5198,no,no,no
5199,no,no,
5200,no,yes,no
5201,,,
5202,yes,yes,
5203,no,no,
5204,yes,yes,
5205,yes,yes,no
5206,yes,no,no
5207,yes,no,
5208,yes,no,no
5209,yes,yes,no
5210,yes,no,
5211,yes,yes,no
5212,no,no,
5213,no,yes,no
5214,yes,no,
5215,no,no,no
5216,yes,no,no
5217,yes,no,no
5218,yes,no,no
5219,yes,no,no
5220,no,no,no
5221,no,yes,
5222,no,no,no
5223,yes,no,no
5224,yes,yes,no
5225,yes,yes,
5226,yes,yes,no
5227,no,no,
5228,no,no,
5229,yes,yes,no
5230,yes,yes,
5231,yes,yes,no
5232,yes,no,no
5233,no,no,no
5234,yes,no,
5235,no,no,no
5236,no,no,
5237,yes,yes,
5238,no,no,no
5239,no,no,no
5240,yes,no,no
5241,yes,no,
5242,no,no,no
5243,no,no,no
5244,no,no,no
5245,yes,no,no
5246,yes,no,no
5247,no,no,no
5248,yes,no,no
5249,no,no,no
5250,yes,no,no
5251,yes,no,no
5252,no,no,
5253,yes,no,
5254,no,no,no
5255,,,
5256,no,no,no
5257,no,yes,no
5258,no,no,
5259,no,yes,no
5260,no,no,no
5261,,,
5262,no,yes,no
5263,no,no,
5264,no,yes,no
5265,yes,no,no
5266,yes,no,
5267,no,no,
5268,yes,no,
5269,yes,no,
5270,yes,no,no
5271,yes,yes,no
5272,yes,no,no
5273,no,no,no
5274,yes,no,no
5275,no,no,no
5276,yes,no,no
5277,no,no,no
5278,no,no,
5279,yes,no,no
5280,yes,no,no
5281,yes,no,no
5282,no,no,no
5283,yes,no,no
5284,yes,no,no
5285,no,no,no
5286,yes,yes,
5287,yes,no,no
5288,no,no,
5289,no,no,no
5290,yes,yes,no
5291,yes,no,no
5292,no,no,
5293,no,no,no
5294,yes,no,
5295,yes,no,no
5296,yes,no,no
5297,yes,no,no
5298,yes,no,no
5299,no,no,no
5300,no,no,no
5301,yes,no,no
5302,no,no,no
5303,,,
5304,yes,no,
5305,yes,no,no
5306,yes,no,no
5307,no,yes,
5308,no,no,no
5309,no,no,no
5310,yes,no,
5311,yes,no,
5312,no,no,no
5313,no,no,no
5314,yes,no,no
5315,,,no
5316,no,no,no
5317,yes,no,no
5318,yes,yes,
5319,yes,no,no
5320,yes,no,no
5321,no,no,
5322,yes,no,no
5323,no,no,no
5324,yes,no,no
5325,no,no,no
5326,yes,yes,
5327,no,no,no
5328,no,no,no
5329,yes,no,no
5330,yes,no,no
5331,no,no,no
5332,yes,no,no
5333,yes,no,no
5334,no,yes,no
5335,yes,yes,
5336,yes,no,
5337,no,yes,
5338,yes,no,
5339,yes,yes,no
5340,yes,no,no
5341,no,no,
5342,yes,no,
5343,no,no,
5344,yes,no,
5345,no,yes,
5346,yes,no,no
5347,yes,no,no
5348,no,no,no
5349,yes,no,no
5350,yes,yes,
5351,yes,no,no
5352,yes,yes,no
5353,no,no,no
5354,yes,no,no
5355,no,yes,
5356,no,no,no
5357,no,no,no
5358,yes,no,no
5359,no,no,
5360,yes,no,no
5361,no,no,
5362,no,no,
5363,yes,no,no
5364,no,no,no
5365,no,no,no
5366,yes,no,no
5367,yes,no,
5368,no,yes,
5369,yes,no,
5370,yes,no,
5371,no,no,no
5372,yes,no,no
5373,no,no,no
5374,yes,no,no
5375,yes,no,no
5376,yes,no,
5377,no,no,no
5378,yes,no,no
5379,no,no,
5380,yes,no,no
5381,yes,no,no
5382,no,yes,no
5383,no,no,no
5384,no,no,no
5385,yes,no,
5386,no,yes,
5387,yes,no,no
5388,no,no,no
5389,no,no,no
5390,yes,no,no
5391,no,no,no
5392,yes,no,no
5393,yes,no,no
5394,no,yes,
5395,yes,no,no
5396,yes,no,
5397,yes,no,
5398,yes,no,no
5399,yes,no,no
5400,yes,yes,no
5401,no,no,no
5402,yes,yes,no
5403,no,no,no
5404,no,no,
5405,no,yes,no
5406,no,no,
5407,yes,yes,no
5408,no,no,no
5409,yes,no,
5410,no,no,no
5411,yes,no,no
5412,no,no,
5413,no,no,
5414,no,no,no
5415,no,no,
5416,yes,no,no
5417,no,yes,
